"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 25 05:54:16 UTC 2024","Thu Jan 25 05:54:22 UTC 2024","6290","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"skipped","Thu Jan 25 05:24:36 UTC 2024","Thu Jan 25 05:24:36 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Thu Jan 25 04:38:48 UTC 2024","Thu Jan 25 04:38:58 UTC 2024","10451","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Thu Jan 25 05:33:05 UTC 2024","Thu Jan 25 05:33:08 UTC 2024","2859","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"passed","Thu Jan 25 05:32:42 UTC 2024","Thu Jan 25 05:32:57 UTC 2024","14459","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Thu Jan 25 04:37:50 UTC 2024","Thu Jan 25 04:38:29 UTC 2024","38213","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","2. Create a Trust Account",""
"passed","Thu Jan 25 04:42:25 UTC 2024","Thu Jan 25 04:42:26 UTC 2024","415","","6. Company Account","","","","9. Review Final Review",""
"passed","Thu Jan 25 05:33:30 UTC 2024","Thu Jan 25 05:33:40 UTC 2024","10232","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"passed","Thu Jan 25 04:41:33 UTC 2024","Thu Jan 25 04:41:41 UTC 2024","7750","","6. Company Account","","","","2. Create a Company Account",""
"passed","Thu Jan 25 05:33:17 UTC 2024","Thu Jan 25 05:33:30 UTC 2024","12912","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Thu Jan 25 05:08:11 UTC 2024","Thu Jan 25 05:08:24 UTC 2024","12361","","12. Client Portal - Forms","","","","2. Check Form Page",""
"skipped","Thu Jan 25 05:03:18 UTC 2024","Thu Jan 25 05:03:18 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"skipped","Thu Jan 25 05:24:36 UTC 2024","Thu Jan 25 05:24:36 UTC 2024","1","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"passed","Thu Jan 25 05:08:24 UTC 2024","Thu Jan 25 05:08:29 UTC 2024","4875","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Thu Jan 25 05:49:33 UTC 2024","Thu Jan 25 05:49:35 UTC 2024","2388","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"passed","Thu Jan 25 05:54:31 UTC 2024","Thu Jan 25 05:54:32 UTC 2024","1555","","20. Admin Portal - Check details","","","","5. Check Investor Panel",""
"passed","Thu Jan 25 05:05:45 UTC 2024","Thu Jan 25 05:05:47 UTC 2024","2194","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Thu Jan 25 04:41:16 UTC 2024","Thu Jan 25 04:41:33 UTC 2024","16797","","6. Company Account","","","","1. Validate login credentials",""
"passed","Thu Jan 25 05:49:23 UTC 2024","Thu Jan 25 05:49:33 UTC 2024","9515","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Thu Jan 25 05:33:12 UTC 2024","Thu Jan 25 05:33:14 UTC 2024","2659","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Thu Jan 25 04:38:29 UTC 2024","Thu Jan 25 04:38:48 UTC 2024","18940","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Thu Jan 25 05:33:40 UTC 2024","Thu Jan 25 05:33:42 UTC 2024","2105","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
